,Ticker,close,date,high,low,month,open,volume,company,sector,symbol
189,BHARTIARTL,1435.15,2024-07-08 05:30:00,1438.85,1423.15,2024-07,1431.0,3261797,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
190,BHARTIARTL,1435.55,2024-07-09 05:30:00,1441.65,1428.15,2024-07,1436.0,2897480,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
191,BHARTIARTL,1445.05,2024-07-10 05:30:00,1448.75,1426.15,2024-07,1441.0,3416762,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
192,BHARTIARTL,1437.95,2024-07-11 05:30:00,1450.85,1428.0,2024-07,1450.0,4178558,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
193,BHARTIARTL,1433.25,2024-07-12 05:30:00,1447.6,1421.45,2024-07,1442.0,6342135,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
194,BHARTIARTL,1437.6,2024-07-15 05:30:00,1440.0,1426.05,2024-07,1433.25,3324806,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
195,BHARTIARTL,1466.5,2024-07-16 05:30:00,1473.3,1445.0,2024-07,1452.0,6967651,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
196,BHARTIARTL,1483.65,2024-07-18 05:30:00,1485.95,1459.05,2024-07,1466.0,6470342,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
197,BHARTIARTL,1461.75,2024-07-19 05:30:00,1480.0,1451.95,2024-07,1480.0,3858596,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
198,BHARTIARTL,1465.4,2024-07-22 05:30:00,1472.0,1449.05,2024-07,1450.0,3560584,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
199,BHARTIARTL,1465.7,2024-07-23 05:30:00,1470.0,1428.45,2024-07,1470.0,2936143,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
200,BHARTIARTL,1455.2,2024-07-24 05:30:00,1475.6,1436.55,2024-07,1466.0,4529339,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
201,BHARTIARTL,1449.15,2024-07-25 05:30:00,1454.0,1440.1,2024-07,1445.0,4277756,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
202,BHARTIARTL,1514.4,2024-07-26 05:30:00,1520.0,1449.15,2024-07,1450.25,9564987,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
203,BHARTIARTL,1481.35,2024-07-29 05:30:00,1525.0,1477.05,2024-07,1525.0,4589313,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
204,BHARTIARTL,1470.35,2024-07-30 05:30:00,1484.9,1464.05,2024-07,1484.4,4263689,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
205,BHARTIARTL,1491.55,2024-07-31 05:30:00,1504.15,1473.15,2024-07,1477.85,5634305,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
206,BHARTIARTL,1505.5,2024-08-01 05:30:00,1511.0,1485.0,2024-08,1485.0,4531379,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
207,BHARTIARTL,1493.8,2024-08-02 05:30:00,1505.15,1483.6,2024-08,1494.1,3335905,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
208,BHARTIARTL,1465.7,2024-08-05 05:30:00,1488.0,1451.5,2024-08,1482.0,5111901,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
209,BHARTIARTL,1443.55,2024-08-06 05:30:00,1492.9,1431.1,2024-08,1483.1,8249573,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
210,BHARTIARTL,1441.75,2024-08-07 05:30:00,1454.9,1422.6,2024-08,1452.0,5700734,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
211,BHARTIARTL,1451.8,2024-08-08 05:30:00,1466.5,1430.0,2024-08,1435.0,5986360,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
212,BHARTIARTL,1464.1,2024-08-09 05:30:00,1482.0,1457.3,2024-08,1465.0,3615910,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
213,BHARTIARTL,1458.6,2024-08-12 05:30:00,1477.5,1445.0,2024-08,1466.0,4028226,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
214,BHARTIARTL,1459.7,2024-08-13 05:30:00,1478.4,1450.35,2024-08,1468.0,4495208,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
215,BHARTIARTL,1471.7,2024-08-14 05:30:00,1480.1,1453.1,2024-08,1453.1,5891784,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
216,BHARTIARTL,1483.55,2024-08-16 05:30:00,1491.0,1468.1,2024-08,1480.0,7176426,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
217,BHARTIARTL,1469.65,2024-08-19 05:30:00,1489.1,1464.3,2024-08,1487.0,4404075,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
218,BHARTIARTL,1449.15,2024-08-20 05:30:00,1484.75,1446.5,2024-08,1480.0,10046892,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
219,BHARTIARTL,1463.45,2024-08-21 05:30:00,1466.6,1447.7,2024-08,1453.0,6175510,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
220,BHARTIARTL,1486.35,2024-08-22 05:30:00,1499.9,1465.0,2024-08,1473.7,6781325,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
221,BHARTIARTL,1506.75,2024-08-23 05:30:00,1510.0,1479.35,2024-08,1493.0,6238112,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
222,BHARTIARTL,1513.55,2024-08-26 05:30:00,1520.7,1505.0,2024-08,1509.0,4307432,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
223,BHARTIARTL,1522.75,2024-08-27 05:30:00,1526.35,1502.0,2024-08,1518.0,3965066,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
224,BHARTIARTL,1556.35,2024-08-28 05:30:00,1564.5,1521.65,2024-08,1527.95,6225319,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
225,BHARTIARTL,1565.9,2024-08-29 05:30:00,1571.7,1545.95,2024-08,1565.0,8036748,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
226,BHARTIARTL,1589.05,2024-08-30 05:30:00,1608.4,1561.6,2024-08,1576.0,37820442,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
227,BHARTIARTL,1571.35,2024-09-02 05:30:00,1605.0,1565.5,2024-09,1605.0,4890314,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
228,BHARTIARTL,1560.6,2024-09-03 05:30:00,1579.0,1558.6,2024-09,1579.0,4546295,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
229,BHARTIARTL,1561.9,2024-09-04 05:30:00,1566.0,1542.0,2024-09,1558.0,5213811,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL
